vote_intention,age,sex,education,income,party_id,party_id_str,party_id_imp,ideology,feeling_democrat,feeling_republican,political_knowledge_intro,political_knowledge_catch1,political_knowledge_catch_feedback,political_knowledge_senate_term,political_knowledge_least_spending,political_knowledge_house_majority,political_knowledge_senate_majority,political_interest,follow_politics_media,understand_issues
2,54,1,2,19,2,7,2,6,0,85,1,1980,-1,0,1,1,1,2,1,2
1,70,0,5,16,1,1,2,3,85,0,1,1970,-1,0,0,1,1,1,1,1
1,66,1,5,21,3,3,2,2,70,15,1,2000,-1,1,1,1,1,2,2,2
2,60,1,3,19,2,7,4,6,10,75,1,1927,-1,1,0,1,1,1,2,1
2,50,0,4,17,3,5,2,6,0,85,1,1963,-1,1,0,1,1,2,2,2
2,62,1,4,20,2,7,2,6,15,90,1,1955,-1,1,1,1,1,1,1,2
1,37,0,5,17,3,4,5,2,70,0,1,1985,-1,1,0,1,1,1,1,1
1,52,1,4,20,2,6,5,5,50,30,1,2000,-1,0,0,1,1,2,2,2
2,76,0,5,3,2,7,1,7,0,100,1,1990,-1,1,0,1,1,2,2,2
1,42,0,4,21,3,3,5,3,50,50,1,1982,-1,0,1,1,1,3,3,3
2,67,1,2,4,3,4,3,4,30,50,1,1947,-1,0,1,1,1,2,2,3
1,34,0,3,8,1,1,1,6,100,0,1,1896,2,1,1,1,1,1,1,1
1,40,1,5,22,1,2,4,1,70,0,1,1957,-1,1,1,1,1,1,1,1
1,49,1,3,20,1,2,3,4,70,15,1,1985,-1,1,0,1,1,2,2,3
1,37,1,5,18,1,1,3,2,85,30,1,1964,-1,0,1,1,1,2,2,2
2,80,0,3,19,2,7,2,6,15,85,1,1978,-1,1,0,1,1,3,3,2
2,80,0,1,5,2,6,2,3,30,100,1,1988,-1,0,0,1,0,3,3,3
2,66,0,3,8,3,5,5,6,30,60,1,1964,-1,1,1,1,1,2,2,1
2,55,1,4,8,2,6,5,5,60,70,1,1972,-1,0,1,0,1,2,3,2
2,65,1,3,18,2,6,3,6,0,60,1,1990,-1,1,0,1,1,3,3,3
2,70,0,2,3,2,7,3,7,15,85,1,2000,-1,0,0,0,1,1,2,3
1,30,1,4,7,3,3,5,2,60,0,1,1984,-1,1,0,1,1,1,1,1
1,71,1,3,3,1,1,3,4,85,15,1,1950,-1,1,1,0,0,3,1,3
1,28,1,5,20,1,2,4,2,60,15,1,1910,-1,1,0,1,1,2,1,2
1,63,1,4,16,3,4,3,4,60,30,1,1920,-1,1,0,1,1,1,1,2
2,48,1,2,9,2,7,4,6,0,85,1,1980,-1,0,1,1,1,4,3,2
2,77,0,3,6,3,5,2,6,15,86,1,1990,-1,1,0,1,1,2,3,2
1,48,0,4,15,1,2,5,4,60,15,1,2000,-1,1,0,1,1,2,2,2
1,47,0,3,4,1,1,5,3,85,60,1,1972,-1,0,0,0,1,2,1,1
1,78,0,5,20,1,1,1,2,100,0,1,1994,-1,1,0,1,1,1,1,1
1,76,0,5,22,1,1,3,4,85,0,1,2000,-1,0,1,1,1,2,1,1
2,46,0,3,1,3,5,3,6,50,85,1,1964,-1,0,0,1,1,2,2,2
1,29,0,3,17,3,4,5,4,-9,-9,1,1920,-1,0,1,1,0,4,3,3
1,69,0,3,7,1,1,3,6,70,40,1,1960,-1,0,0,1,1,2,2,2
1,57,1,5,21,1,1,3,2,60,15,1,1944,-1,1,1,1,1,1,1,1
1,71,1,5,11,1,1,3,3,75,10,1,1975,-1,0,1,1,1,1,1,1
2,50,1,4,19,2,7,2,6,0,100,1,1925,-1,1,1,1,1,2,2,2
1,49,1,4,20,3,3,4,2,30,10,1,1974,-1,1,1,1,1,2,2,2
2,59,1,2,13,3,5,5,6,40,60,1,1971,-1,1,0,1,1,1,1,2
2,63,1,3,19,2,7,1,7,0,100,1,1896,2,1,1,0,1,3,2,2
1,73,1,5,17,1,1,1,2,75,2,1,1956,-1,1,0,1,1,1,1,1
1,56,0,4,20,1,1,3,3,85,15,1,1964,-1,1,0,0,0,2,2,2
2,41,1,4,22,2,6,5,4,20,60,1,1901,-1,1,0,1,1,2,3,2
2,64,0,4,10,2,6,4,4,40,100,1,1998,-1,1,0,1,1,2,2,2
1,21,1,3,1,3,3,1,3,60,40,1,1990,-1,1,1,0,1,1,1,4
2,61,1,3,15,2,6,3,5,20,60,1,1985,-1,0,1,0,1,2,3,2
